"","V1"
"inaug_GeorgeWashington_1_2",9
"inaug_GeorgeWashington_1_3",9
"inaug_GeorgeWashington_1_4",9
"inaug_GeorgeWashington_1_5",9
"inaug_GeorgeWashington_1_6",9
"inaug_GeorgeWashington_1_7",9
"inaug_GeorgeWashington_1_8",9
"inaug_GeorgeWashington_1_9",9
"inaug_GeorgeWashington_1_10",9
"inaug_GeorgeWashington_1_11",9
"inaug_GeorgeWashington_1_12",10
"inaug_GeorgeWashington_1_13",10
"inaug_GeorgeWashington_1_14",9
"inaug_GeorgeWashington_1_15",9
"inaug_GeorgeWashington_1_16",9
"inaug_GeorgeWashington_1_17",9
"inaug_GeorgeWashington_1_18",9
"inaug_GeorgeWashington_1_19",9
"inaug_GeorgeWashington_1_20",9
"inaug_GeorgeWashington_1_21",9
"inaug_GeorgeWashington_1_22",9
"inaug_GeorgeWashington_1_23",7
"inaug_GeorgeWashington_1_24",9
"inaug_GeorgeWashington_1_25",9
"inaug_GeorgeWashington_1_26",9
"inaug_GeorgeWashington_1_27",9
"inaug_GeorgeWashington_1_28",9
"inaug_GeorgeWashington_1_29",9
"inaug_GeorgeWashington_1_30",9
"inaug_GeorgeWashington_2_2",9
"inaug_GeorgeWashington_2_3",10
"inaug_JohnAdams *_1_2",9
"inaug_JohnAdams *_1_3",9
"inaug_JohnAdams *_1_4",9
"inaug_JohnAdams *_1_5",1
"inaug_JohnAdams *_1_6",9
"inaug_JohnAdams *_1_7",9
"inaug_JohnAdams *_1_8",7
"inaug_JohnAdams *_1_9",7
"inaug_JohnAdams *_1_10",9
"inaug_JohnAdams *_1_11",7
"inaug_JohnAdams *_1_12",9
"inaug_JohnAdams *_1_13",9
"inaug_JohnAdams *_1_14",9
"inaug_JohnAdams *_1_15",9
"inaug_JohnAdams *_1_16",9
"inaug_JohnAdams *_1_17",9
"inaug_JohnAdams *_1_18",9
"inaug_JohnAdams *_1_19",10
"inaug_JohnAdams *_1_20",9
"inaug_JohnAdams *_1_21",9
"inaug_JohnAdams *_1_22",7
"inaug_JohnAdams *_1_23",7
"inaug_JohnAdams *_1_24",9
"inaug_JohnAdams *_1_25",9
"inaug_JohnAdams *_1_26",9
"inaug_JohnAdams *_1_27",11
"inaug_JohnAdams *_1_28",11
"inaug_JohnAdams *_1_29",7
"inaug_JohnAdams *_1_30",7
"inaug_JohnAdams *_1_31",9
"inaug_JohnAdams *_1_32",9
"inaug_JohnAdams *_1_33",9
"inaug_JohnAdams *_1_34",14
"inaug_JohnAdams *_1_35",12
"inaug_JohnAdams *_1_36",10
"inaug_JohnAdams *_1_37",9
"inaug_JohnAdams *_1_38",7
"inaug_JohnAdams *_1_39",9
"inaug_JohnAdams *_1_40",7
"inaug_JohnAdams *_1_41",9
"inaug_JohnAdams *_1_42",9
"inaug_JohnAdams *_1_43",7
"inaug_JohnAdams *_1_44",1
"inaug_JohnAdams *_1_45",9
"inaug_JohnAdams *_1_46",9
"inaug_JohnAdams *_1_47",9
"inaug_JohnAdams *_1_48",9
"inaug_JohnAdams *_1_49",9
"inaug_JohnAdams *_1_50",9
"inaug_JohnAdams *_1_51",9
"inaug_JohnAdams *_1_52",9
"inaug_JohnAdams *_1_53",9
"inaug_JohnAdams *_1_54",9
"inaug_ThomasJefferson *_1_2",9
"inaug_ThomasJefferson *_1_3",9
"inaug_ThomasJefferson *_1_4",9
"inaug_ThomasJefferson *_1_5",10
"inaug_ThomasJefferson *_1_6",7
"inaug_ThomasJefferson *_1_7",10
"inaug_ThomasJefferson *_1_8",8
"inaug_ThomasJefferson *_1_9",8
"inaug_ThomasJefferson *_1_10",13
"inaug_ThomasJefferson *_1_11",13
"inaug_ThomasJefferson *_1_12",13
"inaug_ThomasJefferson *_1_13",13
"inaug_ThomasJefferson *_1_14",11
